"Planet_number","planet_name","STAR_IDX","Mass (Earth)","relative density","RADIUS","TYPE_TERRAIN","CLIMATE TYPE"
242,"Rōka Cerberian",7175,7.45,0.985,1.96,"sea:savanna","humid:windy:hot"
243,"Helixar Decimal",5224,2.24,1.021,NA,"city","tropical:artificial temperate:superheated:frigid:artic"
244,"Helixar Octal",5224,5.3,0.969,1.76,"city:bog:forest","artic:subartic:frozen:rocky:tropical:humid"
245,"Helixar Septimal",5224,2.59,0.437,1.81,"lakes:forest:swamp","arid:frozen:tropical:windy:humid:subartic"
246,"Helixar Quintal",5224,6.98,1.37,1.72,"island:lakes:tundra:glacier","rocky:artificial temperate:artic"
247,"Pipoltr Gaian",8482,1.17,1.202,0.99,"bog","temperate"
248,"Pipoltr Sirenios",8482,2.47,1.135,1.3,"mountain:rocky desert:urban:desert:rainforest","humid:artic:rocky"
249,"Pipoltr Faunios",8482,6.64,0.966,1.9,"hill:toxic cloudsea:rocky desert:verdant:plateau","frozen:subartic:rocky:superheated"
250,"Pipoltr Poseidian",8482,1.42,0.953,NA,"grassland:mountain:barren:valley","arid:humid:tropical:artificial temperate:windy"
251,"Stellaria Whimsy Psychean",7170,8.15,1.268,1.86,"sea:jungle:fungus forest:tundra","hot:humid:artic"
252,"Sirius Nemesisian",6181,7.22,1.7,1.62,"plain:vine","hot"
253,"Astraflame Upsilon",566,1.48,1.006,1.14,"plateau:barren","artic:superheated:arid"
254,"Cosmic Cascade Gaios",723,7.6,1.31,1.8,"ash:jungle:rock arche:vine:hill:cityscape","artificial temperate:humid:superheated:hot"
255,"Cosmic Cascade Dionysios",723,3.96,0.564,1.92,"lakes:plateau:field:verdant","frigid:temperate:artic:artificial temperate:rocky:tropical"
256,"Cosmic Cascade Orphean",723,6.88,0.853,2.01,"city:grassy hill","temperate"
257,"Cosmic Cascade Pegasusian",723,1.54,1.015,1.15,"vine:ash:fungus forest:desert","windy:artificial temperate:hot:temperate"
258,"Nebulium Beta",3014,1.42,0.556,1.37,"ice cave:lava river:grassy hill:city:bog","rocky:hot:artificial temperate:artic"
259,"Torcular Si",3717,8.61,1.14,1.96,"","windy"
260,"Torcular Wu",3717,0.55,1.154,0.78,"mountain","rocky:frigid:hot:artificial temperate:frozen:windy"
261,"Torcular Yi",3717,9.17,0.813,2.24,"grassland","subartic:humid:arid:frozen"
262,"Torcular Liu",3717,7.78,1.116,1.91,"canyons:bog:ice canyon","temperate:superheated:frozen:artificial temperate"
263,"Alphecca Demetrian",4979,0.75,0.716,1.02,"rainforest","arid:temperate:superheated:frigid:windy"
264,"Alphecca Persephonian",4979,5.64,1.193,1.68,"rock arche:valley:jungle:fungus forest:mountain:grassy hill","frozen:temperate:subartic:superheated:tropical"
265,"Asahi Horizon Yi",3361,0.72,1.003,0.9,"lakes:forest:valley","artificial temperate:superheated"
266,"Asahi Horizon Jiu",3361,1.59,1.252,1.08,"canyons:mountain:reef:verdant:ice canyon","frigid:temperate:rocky"
267,"Asahi Horizon Si",3361,1.09,0.62,1.21,"verdant","humid:frozen:subartic"
268,"Asahi Horizon San",3361,8.51,0.956,2.07,"lakes","superheated:artificial temperate:arid:tropical"
269,"Asahi Horizon Er",3361,5.23,1.19,1.64,"fungus forest:tundra:lakes","tropical:subartic:artificial temperate:humid:frozen"
270,"Nihal Mu",4614,1.73,1.021,1.19,"jungle:verdant","rocky:hot:superheated"
271,"Nihal Eta",4614,1.63,0.978,1.19,"cityscape","subartic"
272,"Nihal Zeta",4614,3.34,1.283,1.38,"fungus forest:field:plateau:rocky island:ice canyon:tundra","frigid:rocky:subartic:hot:windy"
273,"Nihal Epsilon",4614,2.37,0.735,1.48,"barren:lava river:glacier","arid:frozen"
274,"Ebon Cosmos XX",6257,8.8,1.129,1.98,"cliff","artic"
275,"Ebon Cosmos XII",6257,6.39,1.297,1.7,"lava river:cityscape","superheated:arid"
276,"Ebon Cosmos XIII",6257,0.96,1.012,0.98,"mountain:ice cave:reef:field","superheated:subartic:windy:tropical"
277,"Novaflare Morphean",7582,4,1.38,1.43,"forest:rocky canyon:grassland:mountain","frigid:windy:artic:artificial temperate:temperate"
278,"Elysian Anomaly San",3750,1.87,1.023,1.22,"ocean:rocky canyon:ice canyon:vine","arid:subartic:tropical:artic"
279,"Scarabian Horizon Pi",5932,1.91,0.908,1.28,"cityscape:river:sea","tropical:temperate"
280,"Scarabian Horizon Kappa",5932,6.33,0.829,1.97,"lakes:plain","artificial temperate"
281,"Scarabian Horizon Lambda",5932,2.34,0.731,1.47,"lakes:plain","subartic:artic:humid:windy:frigid"
282,"Lesath Alpha",7392,NA,1.182,1.41,"desert:rocky island:verdant:barren","rocky:arid:hot"
283,"Lesath Chi",7392,3.1,0.869,1.53,"savanna:ice cave:cave:sinkholes:swamp:canyons:rocky island","frigid:superheated:hot:tropical:arid:humid"
284,"Sekhmet's Resonance XII",5616,1.08,1.182,0.97,"ice cave:bog:rocky canyon","subartic:hot:tropical"
285,"Sekhmet's Resonance VI",5616,NA,0.735,2.37,"valley:city","rocky:windy:temperate"
286,"Sekhmet's Resonance V",5616,2.16,1.06,1.27,"jungle:island:plain","hot:frigid"
287,"Sekhmet's Resonance XX",5616,1.92,0.855,1.31,"jungle:glacier:vine:rock arche","tropical:subartic:artic:frigid:temperate"
288,"Sekhmet's Resonance XV",5616,4.88,1.185,1.6,"urban","windy"
289,"Exoplantra Hermian",9185,1.89,0.734,1.37,"vine:grassy hill","temperate"
290,"Exoplantra Gaian",9185,1.88,1.335,1.12,"river:island:acid pool","artic:frigid:superheated"
291,"Exoplantra Dionian",9185,1.57,0.554,1.42,"","windy"
292,"Exoplantra Astraeos",9185,3.47,0.862,1.59,"glacier","artic:windy:artificial temperate:subartic:tropical"
293,"Exoplantra Chimeraean",9185,6.76,0.829,2.01,"rock arche:hill:barren","frigid:arid:rocky:temperate"
294,"Aetherion Octal",3798,5.72,0.878,1.87,"sea:ocean:verdant","windy:artic:humid"
295,"Aetherion Vigesimal",3798,0.67,1.085,0.85,"ocean","windy:humid"
296,"Aetherion Quintal",3798,1.37,1.16,1.06,"ice canyon:rocky island:city:rock arche:barren:glacier:vine:savanna","arid:frozen:windy:subartic:artificial temperate:humid"
297,"Aetherion Sextant",3798,4.46,1.484,1.44,"rocky desert:sinkholes:scrubland","arid:tropical:subartic:hot:windy"
298,"Aetherion Decimal",3798,6.77,0.923,1.94,"plain","hot:temperate"
299,"Infinite Iris V",6522,3.6,1.05,1.51,"jungle:forest:verdant:grassy hill:river","rocky:temperate:tropical:subartic:hot:superheated"
300,"Tania Australis II",6747,8.15,0.568,2.43,"plain","hot:artificial temperate:tropical:rocky:superheated"
301,"Tania Australis XXIII",6747,4.8,0.667,1.93,"canyons","hot:frozen:rocky"
302,"Tania Australis XII",6747,0.99,0.971,1.01,"rock arche:jungle:scrubland","hot:rocky:arid"
303,"Hinotori Whispers Cerberian",2301,4.77,1.243,1.57,"forest:cityscape","artificial temperate:temperate"
304,"Astraflux Olympus",5957,0.81,1.142,0.89,"canyons","frigid:artic:humid:rocky:frozen"
305,"Astraflux Pantheon",5957,1.63,1.369,1.06,"mountain:plateau","windy:rocky:frigid"
306,"Olympus Anomaly Tertial",8540,5.16,0.901,1.79,"ocean:lakes","temperate:windy:subartic"
307,"Olympus Anomaly Septimal",8540,5.51,1.21,1.66,"urban:grassland","hot:arid:superheated:humid:tropical:subartic"
308,"Meissa Echoian",8160,3.71,0.558,1.88,"vine:hill","frozen:arid:artificial temperate"
309,"Emiw Pegasusian",4752,2,1.181,1.19,"volcano:swamp:sea:tundra:desert","subartic:hot:humid:frozen:windy"
310,"Nebulous Enigma Dionian",8990,6.85,0.999,1.9,"hill","humid:windy:arid:frigid"
311,"Frostfang Si",9860,6.33,0.523,2.3,"hill","humid"
312,"Frostfang Ba",9860,9.37,0.398,2.87,"bog:ocean:lakes","windy:temperate:frigid"
313,"Frostfang San",9860,3.17,0.863,1.54,"vine:toxic cloudsea:verdant:river","arid:artic:subartic"
314,"Frostfang Liu",9860,5.4,1.02,1.74,"verdant","hot:arid:frigid:windy:humid"
315,"Menkent VIII",5325,5.28,0.965,1.76,"plateau:rock arche:sea:sinkholes:lava river:river:toxic cloudsea:swamp","tropical:frozen:superheated:temperate:subartic"
316,"Astrophia Rho",9238,0.96,1.122,0.95,"city","frigid:rocky:frozen"
317,"Astrophia Kappa",9238,5.41,1.11,1.7,"grassy hill:ice cave:ice canyon","hot:subartic:arid"
318,"Astrophia Phi",9238,2.49,0.553,1.65,"swamp:rocky island:plateau:reef","artificial temperate:tropical:humid:subartic"
319,"Atlas VI",4735,0.85,0.786,1.03,"cityscape","rocky:artic:subartic"
320,"Atlas XVII",4735,8.73,0.666,2.36,"ocean:island:cave","frigid:superheated:subartic"
321,"Atlas XI",4735,1.95,1.232,1.17,"swamp:rocky desert:river","frigid:humid"
322,"Atlas IV",4735,2.98,1.058,1.41,"rocky island:grassy hill:cliff","humid:tropical:frigid:temperate"
323,"Alzirr Sextant",9468,7.17,1.209,1.81,"canyons:desert:toxic cloudsea:verdant:glacier:grassy hill","artificial temperate:artic:windy:frozen:frigid:superheated:arid"
324,"Alzirr Undecimal",9468,7.24,1.239,1.8,"forest","artificial temperate:frigid"
325,"Kagayaki Qi",7217,1.75,1.169,1.14,"reef:forest","tropical:artic"
326,"Kagayaki Wu",7217,6.1,0.804,1.97,"rainforest:rock arche:bog","artic:windy:tropical"
327,"Kagayaki Si",7217,2.81,0.895,1.46,"canyons","windy:superheated"
328,"Cosmosis IX",7004,4.63,1.036,1.65,"forest:reef:cave:field:hill","artificial temperate:artic:temperate:frozen"
329,"Luminous Nexus Dionysios",9604,4.53,1.086,1.61,"swamp:toxic cloudsea:ice canyon","hot:tropical:windy:artic:humid"
330,"Kochab Aetherios",6603,7.58,1.042,1.94,"rainforest:valley:grassy hill","arid:temperate:hot:windy:tropical"
331,"Azha Secant",9236,2.06,1.127,1.22,"hill:tundra:cityscape:river:scrubland:savanna:desert:ocean:canyons","arid:frozen:humid:tropical:frigid:temperate"
332,"Cosmaronix Zephyrian",9732,0.36,1.36,0.64,"rocky canyon:reef:rainforest:bog:vine","tropical:rocky:frozen"
333,"Ayame Cascade Er",686,6.24,0.818,1.97,"plateau:verdant","windy:superheated"
334,"Palladium Shroud XXIV",6485,6.88,1.258,1.76,"mountain:ocean:hill:cave:ash","hot:rocky:temperate"
335,"Palladium Shroud II",6485,8.59,0.958,2.08,"sea","hot:tropical:arid:temperate:frigid:frozen"
336,"Skyforged Apollox",3831,0.7,0.68,1.01,"acid pool:hill:jungle:fungus forest:sea:glacier","superheated:rocky:hot:subartic:arid"
337,"Mpingo XI",8370,1.49,1.022,1.13,"glacier:cliff","frozen"
338,"Mpingo XIX",8370,1.18,1.331,0.96,"valley:rocky canyon:ice canyon","artificial temperate:frozen"
339,"Mpingo XIII",8370,1.53,1.348,1.04,"field:desert","humid:subartic:artic:temperate:arid"
340,"Mpingo IV",8370,6.79,0.759,2.08,"forest:ocean","arid:humid:temperate:superheated"
341,"Mpingo XVII",8370,0.83,0.538,1.16,"lakes:plateau","frozen:frigid"
342,"Yozora Labyrinth Tau",1498,0.5,1.088,0.77,"ocean:grassy hill","rocky:temperate:tropical:subartic:artic"
343,"Yozora Labyrinth Zeta",1498,1.34,0.879,1.15,"cliff:sea:cave:canyons","rocky:frigid:hot:artificial temperate"
344,"Buna Zephyrian",8367,2.35,1.649,1.13,"tundra:toxic cloudsea:valley","artificial temperate:frozen"
345,"Cosmosol V",8828,6.67,0.92,1.94,"mountain:ocean:ice cave:bog:lakes:valley","artic:temperate:humid:frozen"
346,"Cosmosol XV",8828,6.6,1.081,NA,"volcano","windy:temperate:frozen:artic:artificial temperate:hot"
347,"Cosmosol III",8828,1.39,0.576,1.34,"volcano:grassy hill:cave:reef:ice canyon:rock arche:ash:rocky island","artificial temperate:subartic:superheated:temperate:frozen"
348,"Dubhe Vigesimal",1199,2.35,0.897,1.38,"valley:sea:bog","humid:artificial temperate"
349,"Starlight Shroud Hestian",9586,4.73,0.706,1.89,"reef:river:savanna:tundra:cityscape:rocky canyon:rock arche:verdant:vine","superheated:artificial temperate:arid:tropical:hot:rocky"
350,"Starlight Shroud Hecatean",9586,1.73,0.781,1.3,"cave:toxic cloudsea:forest","arid:subartic:windy:frozen:temperate"
351,"Stellar Whisper Titanos",5030,1.31,0.967,1.11,"canyons:ocean:verdant:scrubland:acid pool:ice canyon","rocky:arid:frozen:frigid"
352,"Mönch Vigesimal",9005,2.35,0.758,1.46,"sea:acid pool:verdant:toxic cloudsea:rocky canyon:island:barren:hill:rock arche:lava river:ash","artificial temperate:superheated:hot:arid:subartic:frigid:frozen"
353,"Mönch Decimal",9005,2.15,1.351,1.17,"tundra","frigid:temperate:windy"
354,"Mönch Septimal",9005,2.65,0.923,1.42,"ocean","subartic:tropical"
355,"Mebsuta Undecimal",493,1.48,1.15,1.09,"jungle","frozen:artic:hot:artificial temperate:temperate"
356,"Mebsuta Quintal",493,2.54,1.127,1.31,"sea:tundra:rocky desert:glacier","subartic:rocky:humid:artic"
357,"Hunahpú Delta",6429,0.63,1.014,0.85,"plain:river:ocean","humid:superheated"
358,"Saiph VII",208,6.43,1.105,1.8,"rocky desert:rocky canyon","windy:tropical:artificial temperate:frozen"
359,"Sakura Nereidos",9840,1.81,1.135,1.17,"cliff:hill:cave:savanna:canyons:scrubland","rocky:temperate:arid:superheated"
360,"Tianguan Phi",1593,4.84,0.835,1.8,"jungle:lakes:river:toxic cloudsea","hot:frigid:windy:subartic:superheated:frozen"
361,"Muphrid Duodecimal",6882,9.25,0.902,2.17,"glacier:plain","humid:artificial temperate:frozen"
362,"Muphrid Prime",6882,3.88,0.69,1.78,"ice canyon","artic:tropical"
363,"Muphrid Quintal",6882,0.48,0.939,0.8,"cliff","tropical:superheated"
364,"Muphrid Septimal",6882,5.03,1.121,1.65,"sinkholes:reef:cliff:jungle","subartic:hot:artificial temperate:frigid:superheated"
365,"Umi Celestial XIX",200,0.66,0.909,0.9,"valley:scrubland:plateau:desert","artificial temperate:temperate:frozen:arid"
366,"Nocturne Echo Undecimal",1612,2.98,0.911,1.48,"field:grassland:island:volcano:plain:ocean","artificial temperate:artic:arid:temperate:frigid"
367,"Nocturne Echo Decimal",1612,0.64,0.8,0.93,"rock arche:desert:verdant:jungle:ice cave","hot:superheated:frigid:frozen:artic:rocky"
368,"Chaophraya Beta",3080,1.62,0.642,1.36,"savanna:glacier:plain:vine:forest","temperate:superheated:frigid:tropical"
369,"Xuange Rho",9901,3.42,1.093,1.46,"ocean:barren:lakes","hot:artic:humid:temperate:frigid:windy:arid"
370,"Xuange Sigma",9901,5.7,1.159,1.7,"rainforest","artificial temperate:tropical:frozen:frigid:subartic:temperate"
371,"Xuange Gamma",9901,1.77,1.029,1.2,"rocky island:jungle:bog:sea","artificial temperate:tropical:rocky:arid:temperate:windy"
372,"Xuange Lambda",9901,0.9,0.938,0.99,"mountain:savanna:verdant:glacier:grassy hill","artificial temperate:subartic:windy:rocky:frigid:artic"
373,"Nekkar XX",1447,4.23,1.003,1.62,"vine:ice canyon:desert","arid:frigid:temperate:artificial temperate:frozen:windy"
374,"Orionyx Olympus",1965,6.3,1.275,1.7,"field:verdant:lakes","frigid:humid"
375,"Tureis Qi",8912,2.86,1.369,1.28,"jungle:desert:acid pool:plateau:jungle","frigid:tropical:frozen:artic:arid:hot"
376,"Aetherionyx Beta",9972,2.52,0.809,1.46,"rocky canyon","artificial temperate:subartic"
377,"Aetherionyx Pi",9972,1.42,1.055,1.1,"rainforest:rocky desert:rock arche:island:urban:toxic cloudsea:ice canyon:acid pool:city","humid:arid:rocky:frozen:tropical:artic"
378,"Aetherionyx Kappa",9972,0.91,0.944,0.99,"ice canyon","windy:hot:frigid"
379,"Berehynia Septimal",8703,1.95,0.685,1.42,"plain:canyons","superheated"
380,"Berehynia Octal",8703,5.55,0.799,1.91,"swamp:scrubland:sinkholes:reef:field:river:cliff","humid:hot:temperate:windy:rocky:arid"
381,"Berehynia Prime",8703,4.63,0.937,1.7,"swamp","humid"
382,"Berehynia Decimal",8703,0.61,0.787,0.92,"island:ocean:acid pool","rocky:frigid"
383,"Berehynia Nonal",8703,9.65,1.407,1.9,"cave:lakes","subartic:tropical:artic:rocky:temperate:frozen"
384,"Lusitânia Persephonian",8580,9.07,0.8,2.25,"savanna:sea:glacier:tundra:toxic cloudsea:urban:rocky desert","arid:artificial temperate:artic:temperate:windy:tropical"
385,"Aetherionis Rho",2499,3.42,1.561,1.3,"valley:sinkholes:desert","hot:rocky:superheated"
386,"Rigil Kentaurus Museios",7322,6.77,0.848,2,"ash:rocky desert:canyons:river","rocky:artic:hot:temperate"
387,"Mirzam VIII",4164,4.11,0.513,2,"island:toxic cloudsea:rocky desert:field:fungus forest:plain:lakes:hill","arid:subartic:rocky:hot:frozen"
388,"Mirzam XII",4164,8.99,0.752,2.29,"verdant:ice canyon:vine:grassy hill:plateau","temperate:superheated:frozen:artificial temperate"
389,"Mirzam II",4164,2.17,0.847,1.37,"forest","arid:temperate:humid"
390,"Mirzam XVII",4164,9.87,1.467,1.89,"canyons","subartic:windy:superheated:rocky:arid"
391,"Mirzam XIII",4164,0.65,1.176,0.82,"jungle:sea:cliff:field:vine:reef:volcano:island","subartic:artificial temperate:artic:superheated:hot"
392,"Elgafar Octal",1115,1.45,1.27,1.05,"urban:grassland:plain:lava river:mountain:plateau","superheated:temperate:frozen:artificial temperate"
393,"Elgafar Duodecimal",1115,2.24,0.919,1.35,"rock arche:scrubland:ash:city:grassy hill","hot:arid:superheated:tropical"
394,"Achernar Wu",4062,1.77,0.797,NA,"urban:vine","rocky"
395,"Achernar San",4062,5.43,0.887,1.83,"rocky canyon:ocean:canyons","frigid:artificial temperate"
396,"Icarian Cipher Demetrian",3553,1.14,1.506,0.91,"verdant:tundra","rocky:temperate:humid:tropical"
397,"Algorab XIX",8487,3.59,0.98,1.54,"cityscape:tundra:bog:rock arche:desert:volcano:vine:savanna:barren","superheated:artic:arid:subartic:frozen:tropical:windy"
398,"Alula Australis Jiu",9106,3.27,1.093,1.44,"desert","superheated:subartic:frozen"
399,"Alula Australis Yi",9106,3.61,1.116,1.48,"reef:urban:forest:rocky desert:city","windy:artic:temperate:frigid:superheated"
400,"Alula Australis Ba",9106,4.1,0.962,1.62,"rock arche:plateau","superheated:frigid"
401,"Alula Australis Shi",9106,7.57,1.306,1.8,"mountain:glacier:ice canyon","artificial temperate:artic"
402,"Aozora Nebula XXI",3046,0.58,1.141,0.8,"lakes:desert:grassland:ice cave:plateau","artic:windy:hot:frigid:humid"
403,"Aozora Nebula XII",3046,2.25,0.521,1.63,"reef:mountain","frozen:artic:tropical"
404,"Aozora Nebula XVII",3046,8.37,0.942,2.07,"ice canyon:ocean:cityscape","arid:artic:frigid"
405,"Astrobix Zeta",6874,0.52,1.11,0.78,"sea","subartic:artificial temperate:frigid:hot:arid:artic"
406,"Ignitara XXIV",8809,2.36,0.346,1.9,"acid pool:rock arche","humid"
407,"Aldulfin Ba",5686,6.46,0.958,1.89,"vine:rock arche","subartic:frigid:artic:tropical:hot"
408,"Phecda Prime",9650,7.47,1,1.95,"vine:valley:ash:urban","subartic:arid:windy:hot:temperate"
409,"Phecda Undecimal",9650,3.93,1.31,1.44,"cave","frozen:artic:temperate:humid:tropical:artificial temperate"
410,"Procyon XXI",4161,4.55,0.918,1.7,"lakes:rocky desert","temperate:humid:windy:arid"
411,"Mesarthim Harpian",394,3.6,1.039,1.51,"rainforest:volcano","rocky:temperate:tropical:hot:frigid"
412,"Tsubasa Echoes Jiu",9169,NA,1.229,1.2,"toxic cloudsea:volcano","frigid:superheated:frozen:windy"
413,"Tsubasa Echoes Liu",9169,2.67,1.353,1.25,"desert:ice canyon:reef:rock arche:acid pool","artificial temperate:artic:subartic:rocky"
414,"Tsubasa Echoes San",9169,2.15,1.392,1.16,"ice cave:rocky island:vine:bog:desert:rock arche:reef:ice canyon","windy:artificial temperate:tropical:rocky:superheated:subartic"
415,"Gloas Beta",9581,4.87,0.723,1.89,"mountain:forest:cityscape:valley","subartic:artificial temperate:rocky:arid"
416,"Horna Asclepian",4957,8.73,1.298,1.89,"canyons:rocky desert:mountain:verdant:island","tropical:frozen:artic:hot"
417,"Horna Nereidos",4957,1.75,1.044,1.19,"mountain:verdant","arid:windy"
418,"Geisha's Echo XVII",1242,1.4,0.613,1.32,"forest","rocky:frozen:arid"
419,"Geisha's Echo VI",1242,0.75,1.241,0.85,"jungle:rocky desert:ice cave","temperate:subartic:arid:humid:artificial temperate"
420,"Alnilam San",4898,0.55,0.745,0.9,"canyons:verdant:ice canyon:volcano:plain:island","hot:frigid:artic:rocky:humid"
421,"Ma'at's Silence XIV",6266,7.5,0.838,2.08,"glacier:fungus forest:city:hill","artic:hot:frozen:artificial temperate:windy:humid"
422,"Quasarionix Xi",1582,0.59,0.946,0.85,"rock arche:cliff:ice cave","arid:artic:hot"
423,"Abyssal Echo Sextant",8424,1.8,1.008,1.21,"plateau:vine","superheated:temperate"
424,"Abyssal Echo Nonal",8424,6.88,0.805,2.04,"savanna:ash","tropical:subartic:superheated:artificial temperate"
425,"Tegmine Rho",7439,2.54,1.424,1.21,"mountain:cliff:grassland:cave:city:volcano","humid:hot:windy:tropical:temperate:superheated"
426,"Morava Olympios",9719,1.29,0.914,1.12,"rock arche:sea:fungus forest:city:reef:rocky canyon","hot:windy:tropical:subartic:artic"
427,"Vindemiatrix Faunios",2960,2.71,1.312,1.27,"river:urban:plain:rocky island:ice cave","temperate:hot:frigid:subartic"
428,"Anser Tertial",8436,4.7,0.981,1.69,"valley:volcano","tropical:artificial temperate:humid:hot"
429,"Alpheratz Epsilon",3913,2.77,1.282,1.29,"reef","frigid:arid"
430,"Quasar Seraph San",1192,0.88,1.173,0.91,"bog","frozen:windy:subartic:hot:superheated:arid:humid"
431,"Quasar Seraph Er",1192,1.68,1.279,1.1,"lakes:reef:ocean","windy:artificial temperate:artic"
432,"Quasar Seraph Liu",1192,1.15,1.167,1,"rocky canyon:bog:sea","subartic:temperate:frigid:windy"
433,"Quasar Seraph Yi",1192,5.09,0.8,1.85,"river:rainforest:savanna:glacier:grassy hill:forest","tropical:frozen:subartic:windy:hot:temperate"
434,"Quasar Seraph Si",1192,7.79,1.369,1.79,"cliff:tundra","hot:arid:tropical:frozen"
435,"Sekai Ember Septimal",5331,2.86,1.334,1.29,"jungle:desert:savanna:field:ice canyon:ash:verdant","frozen:artic:artificial temperate:subartic:hot"
436,"Sekai Ember Nonal",5331,1.98,1.299,1.15,"ash","windy:temperate:superheated:frigid:frozen"
437,"Sekai Ember Decimal",5331,1.15,0.886,1.09,"jungle:plain:rocky desert:plateau:valley","artificial temperate:windy:humid:temperate"
438,"Sekai Ember Sextant",5331,2.83,1.02,1.4,"cliff","hot:rocky"
439,"Sekai Ember Tertial",5331,4.07,0.566,1.93,"cityscape:cave:lava river","temperate:subartic:hot:artificial temperate"
440,"Minelauva Iota",9871,8.48,1.071,1.99,"field:river","temperate:humid:artic:windy"
441,"Astroflux Chimeraean",9753,6.8,1.486,1.66,"plateau:glacier:rocky desert:ice canyon:island","artificial temperate:windy:hot:frozen:frigid"
442,"Alfirk X",7079,8.88,1.106,2,"cliff:reef:jungle","humid:arid:hot"
443,"Alfirk III",7079,0.81,0.866,0.98,"valley:mountain:sea","windy:rocky:artificial temperate"
444,"Alfirk XXIV",7079,0.99,0.767,1.09,"urban","frigid:arid"
445,"Alfirk II",7079,7.81,1.116,1.91,"rock arche:river:field:rocky desert","temperate:arid:rocky"
446,"Skat Zeta",9044,6.39,1.331,1.69,"canyons:island","temperate:humid"
447,"Dabih Qi",1815,8.12,0.964,NA,"rock arche:forest:vine:grassy hill","artificial temperate:subartic:tropical"
448,"Radiara Chimeraean",3634,1.29,1.211,1.02,"city:ash:grassy hill:sea:fungus forest:verdant:river","windy:arid:temperate:tropical:superheated:hot"
449,"Radiara Aphroditos",3634,3.32,1.199,1.4,"cityscape:lava river:volcano:savanna:cliff:canyons","frigid:frozen:rocky:artic:superheated:tropical:hot"
450,"Radiara Helios",3634,6.73,0.583,2.26,"sea:ash:rock arche:plain","temperate:artic:hot"
451,"Wurren Kappa",1283,1.64,1.013,1.17,"cityscape:reef:rocky desert","hot:tropical:frozen:humid"
452,"Wurren Theta",1283,0.82,0.996,0.94,"urban:ice cave:city","subartic:rocky:frigid:temperate"
453,"Diya Olympus",2180,5.85,0.872,1.89,"cityscape:volcano:savanna:plateau","artificial temperate:hot:windy:temperate"
454,"Diya Cerberian",2180,3.61,0.532,1.89,"reef:hill:river","artificial temperate:subartic"
455,"Diya Nymphios",2180,3.05,0.766,1.59,"verdant:lava river:cliff:river","frigid:superheated:tropical:windy"
456,"Kamuy III",5671,0.71,1.129,0.86,"reef","artic:superheated:tropical"
457,"Kamuy XXIII",5671,2.72,1.225,1.3,"tundra:city","superheated:frigid:arid:hot:temperate:humid"
458,"Galaxara Chimeraean",8634,4,1.153,1.51,"ash:island:cliff:mountain:ice cave:bog:city:jungle:ocean","artic:artificial temperate:superheated:rocky:hot:arid:temperate"
459,"Ignitionix XXI",3036,1.88,1.19,1.16,"mountain","artificial temperate"
460,"Unurgunite Centaurios",6393,6.66,1.277,1.73,"jungle:tundra:cityscape","frigid:hot"
461,"Xihe Omega",5261,7.76,1.058,1.94,"plain","windy:hot"
462,"Xihe Gamma",5261,1.79,0.702,1.37,"lava river","windy:arid:artificial temperate:artic:rocky:subartic"
463,"Shaula Selenean",355,2.78,0.902,NA,"acid pool:cityscape:verdant:lava river","subartic:humid:tropical:arid"
464,"Galactic Ember Eta",4782,1.06,1.175,0.97,"glacier:ice canyon:canyons:river:jungle","superheated:frigid:hot:artic:artificial temperate:humid"
465,"Galactic Ember Phi",4782,5.9,1.03,1.79,"city:verdant","superheated:artificial temperate"
466,"Galactic Ember Xi",4782,8.63,1.032,2.03,"rocky canyon","superheated:artic:temperate"
467,"Cor Caroli Janusian",7852,7.16,1.06,1.89,"lakes","arid:tropical:artificial temperate:artic:windy:frigid"
468,"Yugen II",492,2.43,0.902,1.39,"rock arche:volcano:cave","humid:arid"
469,"Yugen III",492,8.77,1.244,1.92,"barren:desert:cave","windy:artificial temperate:artic:arid:frigid:superheated:temperate"
470,"Spectral Veil Zeta",8692,1.46,1.359,1.02,"canyons:vine:river","subartic:frigid:temperate:artificial temperate"
471,"Inazuma Shadows Septimal",6245,0.9,0.809,1.04,"glacier:ice canyon:acid pool:cave:cliff:rock arche:forest","arid:tropical:temperate:rocky:frigid:frozen"
472,"Inazuma Shadows Undecimal",6245,1.33,1.122,1.06,"glacier:canyons:cave:lava river","frozen:frigid:hot"
473,"Inazuma Shadows Prime",6245,2.06,0.65,1.47,"jungle:sea:lava river:canyons:glacier:plain","artificial temperate:hot:frigid:subartic"
474,"Inazuma Shadows Decimal",6245,3.43,0.775,1.64,"rocky desert:cityscape:tundra","hot:arid:tropical:subartic:windy"
475,"Amatsu Echo Lambda",4013,1.67,0.997,1.19,"valley:city:scrubland:reef","subartic:arid:artificial temperate:frigid"
476,"Amatsu Echo Eta",4013,0.87,1.139,0.91,"cityscape","superheated:humid:frigid:artic"
477,"Amatsu Echo Nu",4013,1.92,1.282,1.14,"reef","arid:temperate:hot:humid"
478,"Amatsu Echo Tau",4013,2.19,1.318,1.18,"sinkholes:island:canyons:scrubland:sea:vine:rocky canyon","humid:temperate:arid:hot:rocky"
479,"Asellus Borealis Liu",1600,2.3,1.251,1.22,"desert:urban","arid:rocky:artificial temperate"
480,"Astral Whisper Quartal",9848,3.94,0.809,1.7,"mountain:sea:jungle:urban:glacier","artic:tropical:frozen:artificial temperate"
